3,12:15〜12:25,Iolite,Street Corner Symphony
3,12:25〜12:35,Tamakely,アカペラシンガーズK.O.E.
3,12:35〜12:45,しおりん,amoroso
3,12:45〜12:55,ぽけっとべあ,Choco Crunch OB
3,12:55〜13:10,クマノミ,
3,13:10〜13:30,休憩,
3,13:30〜13:40,ピーマンを肉詰め,Choco Crunch
3,13:40〜13:50,歌詠鳥,hum
3,13:50〜14:00,PadLock,赤平
3,14:00〜14:10,TayG,
3,14:10〜14:20,ジョニー・デッパ！！,ArtifacTone
3,14:20〜14:30,キム・バートン,Musik Spiel
3,14:30〜14:40,ARY-TONE,
3,14:40〜15:00,休憩,
3,15:00〜15:10,milk dipper,The First Cry OB
3,15:10〜15:20,くろわっさん,SoundArts
3,15:20〜15:30,狐の嫁入り,V.E.L
3,15:30〜15:40,Martini,The First Cry
3,15:40〜15:50,Themen's,EmoHill
3,15:50〜16:00,六影,Sol-fa
3,16:00〜16:10,Trunks,Choco Crunch OB
3,16:10〜16:30,休憩,
3,16:30〜16:40,四代目歌貴族,WALKMEN OB
3,16:40〜16:50,梵 this way,
3,16:50〜17:00,perhaps,Doo-Wop
3,17:00〜17:15,なし,
4,10:00〜10:10,なし,
4,10:10〜10:20,なし,
4,10:20〜10:30,なし,
4,10:30〜10:45,SHISENYA,「chum」
4,10:45〜10:55,桜もみじ,T.o.N.E.
4,10:55〜11:05,s'more,das Lied
4,11:05〜11:15,afternoon,Street Corner Symphony
4,11:15〜11:25,凪,One Voices
4,11:25〜11:40,ケミカルテット,鳴声刺心
4,11:40〜12:00,休憩,
4,12:00〜12:15,ゆとろぎ,The First Cry
4,12:15〜12:25,うたことば,OLFM
4,12:25〜12:35,Tetra,SoundArts
4,12:35〜12:45,D-room,GhannaGhanna
4,12:45〜12:55,スクランブル,鳴声刺心
4,12:55〜13:10,あをによし,CrazyClef
4,13:10〜13:30,休憩,
4,13:30〜13:40,暴唱族,LaVoce
4,13:40〜13:50,焼きたてdrops,Groove
4,13:50〜14:00,Snowmen,The First Cry
4,14:00〜14:10,ぽいふる,LongFlags
4,14:10〜14:20,Collage,CrazyClef
4,14:20〜14:30,一縷,Impressive Voice
4,14:30〜15:00,休憩,
4,15:00〜15:15,らくだりぼん,
4,15:15〜15:30,所ジョーズ,
4,15:30〜15:45,葵,V.E.L
4,15:45〜16:00,シカゴボーイ,
4,16:00〜16:30,休憩,
4,16:30〜16:40,ハイツフローレンス,
4,16:40〜16:50,Stranger,Brooklyn304
4,16:50〜17:00,Panache,Choco Crunch
5,10:00〜10:10,なし,
5,10:10〜10:20,なし,
5,10:20〜10:30,なし,
5,10:30〜10:45,UFP,stairways
5,10:45〜10:55,恐縮,桜唄
5,10:55〜11:05,半分ビスケッツ,LINES
5,11:05〜11:15,おれんじじゅーす,T.o.N.E.
5,11:15〜11:25,団塊サウンズ,SoundArts
5,11:25〜11:40,たなみここし,Choco Crunch
5,11:40〜12:00,休憩,
5,12:00〜12:15,スガバン,LaVoce OB
5,12:15〜12:25,よしだン家,SoundArts
5,12:25〜12:35,マルチネス,A-radio
5,12:35〜12:45,blanc,
5,12:45〜12:55,the Marshall arts,JACK
5,12:55〜13:10,脳天ピアス,Brooklyn304
5,13:10〜13:30,休憩,
5,13:30〜13:40,オフクロ,Street Corner Symphony
5,13:40〜13:50,マジョルカ46,
5,13:50〜14:00,Quintonix,WALKMEN
5,14:00〜14:10,[æ],LINES
5,14:10〜14:20,Arcolenz,
5,14:20〜14:30,ゆーてんさんふらい,LaVoce
5,14:30〜14:40,ImpreSSing Stars,CrazyClef
5,14:40〜15:00,休憩,
5,15:00〜15:10,TOY BOX,
5,15:10〜15:20,Singaholic,
5,15:20〜15:30,サイレントマジシャン,
5,15:30〜15:40,ふきのとう,GhannaGhanna
5,15:40〜15;50,chocho,LongFlags OB
5,15:50〜16:00,いろり,Infini
5,16:00〜16:10,お茶の子さいさい,
5,16:10〜16:30,休憩,
5,16:30〜16:40,footloose,V.E.L
5,16:40〜16:50,IBEU,
5,16:50〜17:00,おーる・ど・ふぁっしょん,びぃぐる
5,17:00〜17:15,KaPie,
6,10:00〜10:10,なし,
6,10:10〜10:20,なし,
6,10:20〜10:30,なし,
6,10:30〜10:45,凪沙,Infini
6,10:45〜10:55,毘沙門天,
6,10:55〜11:05,ブラッドピッチ,
6,11:05〜11:15,Aセット,
6,11:15〜11:25,戸塚マングース,Musik Spiel
6,11:25〜11:40,甲州街道,Do it your voice
6,11:40〜12:00,休憩,
6,12:00〜12:15,Scramble Selection,Street Corner Symphony
6,12:15〜12:25,愛飢男,
6,12:25〜12:35,めりぽ。,ハモハモ
6,12:35〜12:45,ぐったりとした黄色,LINES
6,12:45〜12:55,Era,das Lied
6,12:55〜13:10,Read,Choco Crunch
6,13:10〜13:30,休憩,
6,13:30〜13:40,なし,
6,13:40〜13:50,ワトソン6,Edison Town
6,13:50〜14:00,ジャックすぱ郎,びぃぐる
6,14:00〜14:10,The Wendys,Choco Crunch
6,14:10〜14:20,DEBFAIR,BeBap!
6,14:20〜14:30,Chartreux,T.o.N.E.
6,14:30〜14:40,颯-Hayate-,
6,14:40〜15:00,休憩,
6,15:00〜15:10,ROUGH-LIFE,LINES
6,15:10〜15:20,Deja-V,CrazyClef
6,15:20〜15:30,FRY-豚,Voice-Emotion
6,15:30〜15:40,鏡花水月,Musik Spiel
6,15:40〜15:50,木洩れ日,CrazyClef
6,15:50〜16:00,BlueNote,das Lied
6,16:00〜16:10,Mod(E),Choco Crunch
6,16:10〜16:30,休憩,
6,16:30〜16:40,門限〜Gate Limit〜,鳴声刺心
6,16:40〜16:50,Magical Kitchen,Choco Crunch
6,16:50〜17:00,のりのりあっぷっぷ,Musik Spiel
6,17:00〜17:15,Sonic Chicky,CrazyClef
7,16:00〜16:10,無常,Acorde
7,16:10〜16:20,諷,VOIVOI
7,16:20〜16:30,iCad,Street Corner Symphony OB
7,16:30〜16:40,sing-le-mind,Lapis
7,16:40〜16:50,Porco Rosso,LaVoce
7,16:50〜17:00,Peppers,
